"biotypes"	"length"	"gc"
"ENSMUSG00000028271"	"protein_coding"	1271	45.16
"ENSMUSG00000028270"	"protein_coding"	1684	48.71
"ENSMUSG00000018796"	"protein_coding"	2137	49.97
"ENSMUSG00000028278"	"protein_coding"	3702	46.30
"ENSMUSG00000013419"	"protein_coding"	6353	58.08
"ENSMUSG00000049916"	"protein_coding"	1265	54.23
"ENSMUSG00000052253"	"protein_coding"	2803	51.16
"ENSMUSG00000013415"	"protein_coding"	2270	52.02
"ENSMUSG00000087609"	"lincRNA"	1131	46.25
"ENSMUSG00000087608"	"lincRNA"	305	39.02
"ENSMUSG00000087601"	"antisense"	1094	50.81
"ENSMUSG00000087600"	"antisense"	680	52.35
"ENSMUSG00000087603"	"antisense"	490	45.31
"ENSMUSG00000087602"	"lincRNA"	653	41.35
"ENSMUSG00000087605"	"sense_intronic"	659	56.60
"ENSMUSG00000087604"	"antisense"	1599	46.55
"ENSMUSG00000087607"	"antisense"	480	55.42
"ENSMUSG00000087606"	"antisense"	2253	45.85
"ENSMUSG00000032119"	"protein_coding"	2100	52.71
"ENSMUSG00000032118"	"protein_coding"	991	48.13
"ENSMUSG00000056290"	"protein_coding"	1198	40.29
"ENSMUSG00000032113"	"protein_coding"	1433	43.74
"ENSMUSG00000032112"	"protein_coding"	1166	52.06
"ENSMUSG00000032115"	"protein_coding"	2870	53.37
"ENSMUSG00000032114"	"protein_coding"	2083	53.34
"ENSMUSG00000032116"	"protein_coding"	1392	41.78
"ENSMUSG00000071341"	"protein_coding"	2138	68.38
"ENSMUSG00000071340"	"protein_coding"	1183	40.83
"ENSMUSG00000071343"	"retrotransposed"	1002	55.09
"ENSMUSG00000071342"	"protein_coding"	1213	46.25
"ENSMUSG00000071347"	"protein_coding"	1903	52.29
"ENSMUSG00000084611"	"misc_RNA"	267	50.19
"ENSMUSG00000074837"	"protein_coding"	714	37.11
"ENSMUSG00000074830"	"protein_coding"	810	37.16
"ENSMUSG00000073823"	"pseudogene"	378	61.38
"ENSMUSG00000024712"	"protein_coding"	1278	42.25
"ENSMUSG00000024713"	"protein_coding"	6229	50.94
"ENSMUSG00000060512"	"protein_coding"	1870	53.48
"ENSMUSG00000060510"	"protein_coding"	4274	41.86
"ENSMUSG00000060519"	"protein_coding"	2123	53.31
"ENSMUSG00000026715"	"protein_coding"	2157	48.82
"ENSMUSG00000026712"	"protein_coding"	3006	36.66
"ENSMUSG00000026718"	"protein_coding"	1130	43.82
"ENSMUSG00000028483"	"protein_coding"	1919	42.63
"ENSMUSG00000086260"	"pseudogene"	553	46.11
"ENSMUSG00000086261"	"pseudogene"	1447	45.06
"ENSMUSG00000086262"	"lincRNA"	906	51.65
"ENSMUSG00000086263"	"lincRNA"	1137	42.22
"ENSMUSG00000086264"	"lincRNA"	800	53.46
"ENSMUSG00000086265"	"pseudogene"	291	59.45
"ENSMUSG00000086266"	"lincRNA"	1912	57.38
"ENSMUSG00000086267"	"lincRNA"	668	48.35
"ENSMUSG00000086268"	"antisense"	511	51.47
"ENSMUSG00000086269"	"antisense"	2913	50.43
"ENSMUSG00000003868"	"protein_coding"	1633	58.11
"ENSMUSG00000040969"	"protein_coding"	2445	44.50
"ENSMUSG00000090509"	"protein_coding"	617	51.50
"ENSMUSG00000059256"	"protein_coding"	964	51.04
"ENSMUSG00000059251"	"protein_coding"	936	46.15
"ENSMUSG00000059252"	"retrotransposed"	519	44.51
"ENSMUSG00000040963"	"protein_coding"	929	53.61
"ENSMUSG00000087413"	"antisense"	1271	42.33
"ENSMUSG00000007379"	"protein_coding"	3434	46.62
"ENSMUSG00000040964"	"protein_coding"	2639	59.72
"ENSMUSG00000040966"	"protein_coding"	2115	51.58
"ENSMUSG00000083520"	"pseudogene"	3577	44.73
"ENSMUSG00000083521"	"pseudogene"	748	47.73
"ENSMUSG00000083522"	"pseudogene"	288	54.51
"ENSMUSG00000049149"	"protein_coding"	1177	40.73
"ENSMUSG00000081609"	"pseudogene"	165	51.52
"ENSMUSG00000081608"	"pseudogene"	610	51.64
"ENSMUSG00000081607"	"pseudogene"	984	50.71
"ENSMUSG00000081606"	"pseudogene"	183	44.26
"ENSMUSG00000081605"	"pseudogene"	1732	54.73
"ENSMUSG00000081604"	"pseudogene"	444	52.71
"ENSMUSG00000081603"	"pseudogene"	411	39.17
"ENSMUSG00000081602"	"pseudogene"	394	47.97
"ENSMUSG00000081601"	"pseudogene"	141	52.48
"ENSMUSG00000081600"	"pseudogene"	1002	54.69
"ENSMUSG00000085519"	"antisense"	449	52.78
"ENSMUSG00000085517"	"antisense"	606	57.03
"ENSMUSG00000085516"	"antisense"	521	46.20
"ENSMUSG00000085515"	"lincRNA"	3387	35.10
"ENSMUSG00000085514"	"antisense"	661	52.80
"ENSMUSG00000085513"	"pseudogene"	877	33.30
"ENSMUSG00000085512"	"lincRNA"	253	54.94
"ENSMUSG00000085511"	"antisense"	2158	54.77
"ENSMUSG00000085510"	"lincRNA"	600	42.50
"ENSMUSG00000075874"	"rRNA"	119	55.46
"ENSMUSG00000077588"	"misc_RNA"	110	46.36
"ENSMUSG00000077581"	"snoRNA"	132	46.21
"ENSMUSG00000006423"	"protein_coding"	2180	46.16
"ENSMUSG00000077582"	"snRNA"	106	31.13
"ENSMUSG00000077585"	"snoRNA"	132	45.45
"ENSMUSG00000077587"	"snoRNA"	127	49.61
"ENSMUSG00000077586"	"snoRNA"	131	42.75
"ENSMUSG00000003283"	"protein_coding"	2092	55.40
"ENSMUSG00000003282"	"protein_coding"	2486	46.65
"ENSMUSG00000087418"	"pseudogene"	1565	52.44
"ENSMUSG00000084648"	"snRNA"	106	29.25
"ENSMUSG00000084649"	"rRNA"	113	49.56
"ENSMUSG00000084644"	"misc_RNA"	86	47.67
"ENSMUSG00000084645"	"misc_RNA"	324	45.06
"ENSMUSG00000084646"	"snRNA"	104	41.35
"ENSMUSG00000084647"	"snRNA"	107	41.12
"ENSMUSG00000084640"	"misc_RNA"	333	48.65
"ENSMUSG00000084641"	"rRNA"	117	45.30
"ENSMUSG00000084642"	"snRNA"	75	38.67
"ENSMUSG00000084643"	"misc_RNA"	350	42.86
"ENSMUSG00000095145"	"snoRNA"	90	38.89
"ENSMUSG00000095144"	"protein_coding"	123	34.15
"ENSMUSG00000095147"	"miRNA"	89	55.06
"ENSMUSG00000095146"	"miRNA"	93	45.16
"ENSMUSG00000095141"	"protein_coding"	498	35.54
"ENSMUSG00000095140"	"snRNA"	107	32.71
"ENSMUSG00000095143"	"protein_coding"	1496	49.40
"ENSMUSG00000095142"	"snRNA"	107	44.86
"ENSMUSG00000003131"	"protein_coding"	4241	43.10
"ENSMUSG00000095149"	"snRNA"	62	33.87
"ENSMUSG00000095148"	"protein_coding"	699	45.64
"ENSMUSG00000003135"	"protein_coding"	2911	48.56
"ENSMUSG00000003134"	"protein_coding"	4436	53.18
"ENSMUSG00000088763"	"snRNA"	102	44.12
"ENSMUSG00000043226"	"protein_coding"	945	44.87
"ENSMUSG00000088761"	"snRNA"	103	33.01
"ENSMUSG00000088760"	"snRNA"	97	40.21
"ENSMUSG00000043223"	"pseudogene"	972	45.37
"ENSMUSG00000088766"	"snoRNA"	123	45.53
"ENSMUSG00000074582"	"protein_coding"	4809	52.31
"ENSMUSG00000088764"	"snoRNA"	125	49.60
"ENSMUSG00000080555"	"miRNA"	93	48.39
"ENSMUSG00000080556"	"miRNA"	120	21.67
"ENSMUSG00000080557"	"miRNA"	94	45.74
"ENSMUSG00000074589"	"protein_coding"	477	42.77
"ENSMUSG00000008958"	"protein_coding"	1136	53.37
"ENSMUSG00000088495"	"snoRNA"	109	51.38
"ENSMUSG00000088494"	"snRNA"	74	44.59
"ENSMUSG00000034472"	"protein_coding"	2054	55.83
"ENSMUSG00000034473"	"protein_coding"	1343	46.52
"ENSMUSG00000088491"	"miRNA"	89	56.18
"ENSMUSG00000088490"	"snRNA"	107	42.06
"ENSMUSG00000088493"	"snoRNA"	91	39.56
"ENSMUSG00000074059"	"protein_coding"	1519	44.11
"ENSMUSG00000074056"	"protein_coding"	2214	45.66
"ENSMUSG00000074052"	"antisense"	2260	52.65
"ENSMUSG00000088498"	"snRNA"	91	49.45
"ENSMUSG00000005994"	"protein_coding"	1731	47.08
"ENSMUSG00000046470"	"protein_coding"	1620	60.93
"ENSMUSG00000046474"	"protein_coding"	954	57.34
"ENSMUSG00000009394"	"protein_coding"	3598	53.24
"ENSMUSG00000022272"	"protein_coding"	1837	55.09
"ENSMUSG00000042570"	"protein_coding"	996	61.06
"ENSMUSG00000042572"	"protein_coding"	3081	52.00
"ENSMUSG00000042579"	"protein_coding"	2791	45.29
"ENSMUSG00000017767"	"protein_coding"	631	55.26
"ENSMUSG00000017765"	"protein_coding"	1855	57.66
"ENSMUSG00000017764"	"protein_coding"	1778	55.40
"ENSMUSG00000002428"	"protein_coding"	3046	40.75
"ENSMUSG00000017760"	"protein_coding"	1087	56.88
"ENSMUSG00000079186"	"protein_coding"	934	49.68
"ENSMUSG00000017861"	"protein_coding"	1314	55.56
"ENSMUSG00000079184"	"protein_coding"	1095	40.99
"ENSMUSG00000079183"	"protein_coding"	1882	39.64
"ENSMUSG00000079180"	"protein_coding"	694	44.38
"ENSMUSG00000078580"	"protein_coding"	1987	56.44
"ENSMUSG00000078582"	"protein_coding"	2973	49.08
"ENSMUSG00000078584"	"protein_coding"	2984	53.44
"ENSMUSG00000035704"	"protein_coding"	970	45.94
"ENSMUSG00000078586"	"pseudogene"	1581	51.74
"ENSMUSG00000078588"	"protein_coding"	1272	55.63
"ENSMUSG00000084167"	"pseudogene"	486	38.89
"ENSMUSG00000077804"	"snoRNA"	130	50.00
"ENSMUSG00000077807"	"miRNA"	89	60.67
"ENSMUSG00000077802"	"rRNA"	113	46.90
"ENSMUSG00000048232"	"protein_coding"	2806	55.01
"ENSMUSG00000086826"	"antisense"	723	50.62
"ENSMUSG00000058399"	"protein_coding"	963	43.20
"ENSMUSG00000058398"	"protein_coding"	1990	52.71
"ENSMUSG00000058392"	"protein_coding"	1397	52.43
"ENSMUSG00000058396"	"protein_coding"	3954	52.73
"ENSMUSG00000055373"	"protein_coding"	5524	41.28
"ENSMUSG00000055370"	"lincRNA"	2990	39.46
"ENSMUSG00000055371"	"protein_coding"	1875	47.91
"ENSMUSG00000086823"	"processed_transcript"	1543	46.36
"ENSMUSG00000086820"	"antisense"	435	52.18
"ENSMUSG00000086821"	"pseudogene"	517	43.71
"ENSMUSG00000082174"	"pseudogene"	478	44.56
"ENSMUSG00000082175"	"pseudogene"	354	45.48
"ENSMUSG00000082176"	"pseudogene"	336	53.87
"ENSMUSG00000082177"	"pseudogene"	269	51.30
"ENSMUSG00000082170"	"pseudogene"	2222	57.52
"ENSMUSG00000082171"	"pseudogene"	399	49.12
"ENSMUSG00000082172"	"pseudogene"	315	37.46
"ENSMUSG00000082173"	"pseudogene"	556	37.77
"ENSMUSG00000082178"	"pseudogene"	929	44.13
"ENSMUSG00000082179"	"pseudogene"	1058	36.39
"ENSMUSG00000051877"	"protein_coding"	2571	37.73
"ENSMUSG00000064968"	"snoRNA"	77	35.06
"ENSMUSG00000064967"	"snRNA"	167	54.49
"ENSMUSG00000064966"	"snoRNA"	145	50.34
"ENSMUSG00000014444"	"protein_coding"	3297	58.08
"ENSMUSG00000058643"	"protein_coding"	1256	48.01
"ENSMUSG00000064960"	"snoRNA"	128	45.31
"ENSMUSG00000041791"	"protein_coding"	1265	44.82
"ENSMUSG00000041794"	"protein_coding"	1618	55.00
"ENSMUSG00000050478"	"protein_coding"	997	40.42
"ENSMUSG00000090300"	"pseudogene"	280	43.93
"ENSMUSG00000041798"	"protein_coding"	1817	57.67
"ENSMUSG00000090302"	"protein_coding"	685	40.73
"ENSMUSG00000090303"	"pseudogene"	1101	45.05
"ENSMUSG00000090304"	"protein_coding"	2571	39.56
"ENSMUSG00000090305"	"protein_coding"	813	53.01
"ENSMUSG00000090306"	"protein_coding"	2789	44.03
"ENSMUSG00000050471"	"protein_coding"	1662	45.82
"ENSMUSG00000040229"	"protein_coding"	1993	36.76
"ENSMUSG00000040220"	"protein_coding"	1679	55.45
"ENSMUSG00000040225"	"protein_coding"	8766	48.89
"ENSMUSG00000010914"	"protein_coding"	1746	47.06
"ENSMUSG00000048503"	"protein_coding"	3500	47.00
"ENSMUSG00000059112"	"protein_coding"	1029	45.00
"ENSMUSG00000059113"	"protein_coding"	165	53.33
"ENSMUSG00000059114"	"protein_coding"	1935	50.54
"ENSMUSG00000059119"	"protein_coding"	2283	49.98
"ENSMUSG00000056131"	"protein_coding"	4520	43.61
"ENSMUSG00000056130"	"protein_coding"	2175	46.50
"ENSMUSG00000056133"	"protein_coding"	1593	53.17
"ENSMUSG00000036381"	"protein_coding"	1734	44.99
"ENSMUSG00000047799"	"protein_coding"	1899	43.59
"ENSMUSG00000047798"	"protein_coding"	1604	51.27
"ENSMUSG00000047793"	"protein_coding"	2749	54.66
"ENSMUSG00000047797"	"protein_coding"	1554	56.46
"ENSMUSG00000047794"	"protein_coding"	1088	50.09
"ENSMUSG00000048806"	"protein_coding"	770	44.16
"ENSMUSG00000067438"	"protein_coding"	1302	71.10
"ENSMUSG00000057841"	"protein_coding"	517	50.68
"ENSMUSG00000015314"	"protein_coding"	2443	43.51
"ENSMUSG00000015316"	"protein_coding"	2179	46.03
"ENSMUSG00000067430"	"protein_coding"	1973	44.69
"ENSMUSG00000015312"	"protein_coding"	1266	56.71
"ENSMUSG00000085254"	"pseudogene"	942	49.79
"ENSMUSG00000085255"	"antisense"	644	54.50
"ENSMUSG00000085256"	"antisense"	604	56.43
"ENSMUSG00000085257"	"lincRNA"	302	50.99
"ENSMUSG00000094379"	"protein_coding"	909	41.91
"ENSMUSG00000094378"	"protein_coding"	1991	41.58
"ENSMUSG00000085252"	"lincRNA"	1663	46.42
"ENSMUSG00000085253"	"protein_coding"	201	41.29
"ENSMUSG00000094375"	"protein_coding"	705	45.53
"ENSMUSG00000094374"	"protein_coding"	1119	48.08
"ENSMUSG00000094377"	"snRNA"	141	45.39
"ENSMUSG00000094376"	"protein_coding"	1462	58.89
"ENSMUSG00000094371"	"pseudogene"	1386	41.41
"ENSMUSG00000094370"	"protein_coding"	1235	40.56
"ENSMUSG00000094373"	"miRNA"	71	59.15
"ENSMUSG00000094372"	"pseudogene"	378	55.03
"ENSMUSG00000002831"	"protein_coding"	5755	55.85
"ENSMUSG00000047248"	"protein_coding"	4343	49.70
"ENSMUSG00000047246"	"protein_coding"	2313	44.41
"ENSMUSG00000002833"	"protein_coding"	2251	58.11
"ENSMUSG00000047242"	"protein_coding"	1965	45.33
"ENSMUSG00000002835"	"protein_coding"	3308	56.05
"ENSMUSG00000057262"	"protein_coding"	615	53.33
"ENSMUSG00000034923"	"protein_coding"	1141	56.18
"ENSMUSG00000057265"	"protein_coding"	1088	40.74
"ENSMUSG00000088506"	"snRNA"	152	47.37
"ENSMUSG00000065367"	"snRNA"	107	40.19
"ENSMUSG00000065362"	"snoRNA"	131	54.20
"ENSMUSG00000065360"	"snoRNA"	109	38.53
"ENSMUSG00000065361"	"misc_RNA"	412	68.69
"ENSMUSG00000051455"	"protein_coding"	2315	44.03
"ENSMUSG00000065368"	"snRNA"	107	45.79
"ENSMUSG00000095422"	"snRNA"	107	42.99
"ENSMUSG00000095423"	"pseudogene"	639	38.18
"ENSMUSG00000095420"	"lincRNA"	1150	39.74
"ENSMUSG00000092433"	"pseudogene"	2558	39.99
"ENSMUSG00000095426"	"IG_V_gene"	338	48.52
"ENSMUSG00000095427"	"protein_coding"	666	54.20
"ENSMUSG00000095424"	"snoRNA"	114	42.98
"ENSMUSG00000095425"	"snoRNA"	79	37.97
"ENSMUSG00000092438"	"pseudogene"	808	54.58
"ENSMUSG00000092439"	"pseudogene"	1331	41.85
"ENSMUSG00000095428"	"snoRNA"	79	40.51
"ENSMUSG00000095429"	"IG_V_gene"	353	49.58
"ENSMUSG00000063406"	"protein_coding"	1941	45.52
"ENSMUSG00000063409"	"protein_coding"	2031	55.59
"ENSMUSG00000024485"	"protein_coding"	2787	56.29
"ENSMUSG00000052724"	"antisense"	965	64.97
"ENSMUSG00000052726"	"protein_coding"	3483	40.70
"ENSMUSG00000052727"	"protein_coding"	11852	47.65
"ENSMUSG00000066477"	"lincRNA"	2076	51.28
"ENSMUSG00000066475"	"retrotransposed"	555	48.11
"ENSMUSG00000016150"	"protein_coding"	7202	43.56
"ENSMUSG00000066478"	"protein_coding"	315	61.90
"ENSMUSG00000054766"	"protein_coding"	1427	46.62
"ENSMUSG00000054764"	"protein_coding"	851	47.97
"ENSMUSG00000054763"	"protein_coding"	905	49.11
"ENSMUSG00000064181"	"protein_coding"	2690	50.30
"ENSMUSG00000061292"	"protein_coding"	1999	40.52
"ENSMUSG00000018001"	"protein_coding"	1403	49.81
"ENSMUSG00000061296"	"protein_coding"	921	41.69
"ENSMUSG00000024134"	"protein_coding"	1970	62.28
"ENSMUSG00000061295"	"protein_coding"	979	45.88
"ENSMUSG00000061298"	"protein_coding"	1707	46.58
"ENSMUSG00000018008"	"protein_coding"	2791	56.32
"ENSMUSG00000065582"	"miRNA"	86	60.47
"ENSMUSG00000065583"	"miRNA"	110	54.55
"ENSMUSG00000065580"	"miRNA"	98	34.69
"ENSMUSG00000065581"	"miRNA"	67	50.75
"ENSMUSG00000065586"	"miRNA"	106	50.94
"ENSMUSG00000065587"	"miRNA"	77	40.26
"ENSMUSG00000065585"	"miRNA"	106	57.55
"ENSMUSG00000065589"	"miRNA"	86	48.84
"ENSMUSG00000088500"	"misc_RNA"	332	37.95
"ENSMUSG00000013921"	"protein_coding"	966	57.90
"ENSMUSG00000028530"	"protein_coding"	1285	53.03
"ENSMUSG00000062758"	"protein_coding"	801	54.93
"ENSMUSG00000013928"	"protein_coding"	1183	58.75
"ENSMUSG00000062751"	"protein_coding"	805	52.92
"ENSMUSG00000062757"	"protein_coding"	924	40.04
"ENSMUSG00000017204"	"protein_coding"	2726	49.67
"ENSMUSG00000031631"	"protein_coding"	2425	42.70
"ENSMUSG00000061126"	"protein_coding"	1599	54.60
"ENSMUSG00000028536"	"protein_coding"	847	56.61
"ENSMUSG00000093741"	"pseudogene"	261	53.64
"ENSMUSG00000093740"	"pseudogene"	648	34.72
"ENSMUSG00000093743"	"pseudogene"	894	39.49
"ENSMUSG00000093745"	"misc_RNA"	59	62.71
"ENSMUSG00000093744"	"processed_transcript"	338	58.28
"ENSMUSG00000093747"	"pseudogene"	430	46.28
"ENSMUSG00000093746"	"miRNA"	60	40.00
"ENSMUSG00000093749"	"processed_transcript"	1186	47.55
"ENSMUSG00000093748"	"pseudogene"	1365	42.56
"ENSMUSG00000060450"	"protein_coding"	3091	46.93
"ENSMUSG00000071770"	"protein_coding"	977	51.69
"ENSMUSG00000071771"	"protein_coding"	1359	49.05
"ENSMUSG00000071772"	"protein_coding"	1053	47.10
"ENSMUSG00000071773"	"protein_coding"	883	54.02
"ENSMUSG00000031639"	"protein_coding"	4141	40.06
"ENSMUSG00000054181"	"lincRNA"	1519	55.08
"ENSMUSG00000033557"	"protein_coding"	4435	46.47
"ENSMUSG00000033554"	"protein_coding"	1636	43.92
"ENSMUSG00000091429"	"protein_coding"	1404	42.74
"ENSMUSG00000091426"	"pseudogene"	491	55.60
"ENSMUSG00000091425"	"antisense"	335	48.96
"ENSMUSG00000091422"	"protein_coding"	1075	42.88
"ENSMUSG00000091423"	"protein_coding"	2375	50.48
"ENSMUSG00000091421"	"pseudogene"	738	47.29
"ENSMUSG00000060985"	"protein_coding"	2815	46.46
"ENSMUSG00000049307"	"protein_coding"	3664	52.78
"ENSMUSG00000049305"	"protein_coding"	3108	53.38
"ENSMUSG00000060981"	"protein_coding"	476	57.56
"ENSMUSG00000049303"	"protein_coding"	1628	57.86
"ENSMUSG00000049300"	"protein_coding"	2853	51.70
"ENSMUSG00000060989"	"pseudogene"	1856	45.39
"ENSMUSG00000060988"	"protein_coding"	5019	42.94
"ENSMUSG00000037071"	"protein_coding"	4836	47.17
"ENSMUSG00000037070"	"protein_coding"	1723	49.22
"ENSMUSG00000037072"	"protein_coding"	1053	44.09
"ENSMUSG00000037075"	"protein_coding"	4348	41.26
"ENSMUSG00000031958"	"protein_coding"	3259	54.69
"ENSMUSG00000031959"	"protein_coding"	5165	50.32
"ENSMUSG00000018914"	"protein_coding"	629	48.01
"ENSMUSG00000018916"	"protein_coding"	800	44.75
"ENSMUSG00000031950"	"protein_coding"	1044	49.19
"ENSMUSG00000031951"	"protein_coding"	2887	51.89
"ENSMUSG00000031952"	"protein_coding"	1935	57.93
"ENSMUSG00000031953"	"protein_coding"	1943	46.78
"ENSMUSG00000031954"	"protein_coding"	1215	46.91
"ENSMUSG00000031955"	"protein_coding"	3171	60.26
"ENSMUSG00000031957"	"protein_coding"	887	57.38
"ENSMUSG00000072511"	"protein_coding"	2262	45.36
"ENSMUSG00000030399"	"protein_coding"	1415	60.07
"ENSMUSG00000038762"	"protein_coding"	960	55.10
"ENSMUSG00000030393"	"protein_coding"	4199	40.53
"ENSMUSG00000030397"	"protein_coding"	2259	61.66
"ENSMUSG00000025427"	"protein_coding"	7297	52.87
"ENSMUSG00000080872"	"pseudogene"	470	46.38
"ENSMUSG00000063180"	"protein_coding"	186	56.45
"ENSMUSG00000063188"	"protein_coding"	1033	45.01
"ENSMUSG00000088425"	"snoRNA"	119	51.26
"ENSMUSG00000090461"	"protein_coding"	904	37.97
"ENSMUSG00000090460"	"protein_coding"	345	55.65
"ENSMUSG00000090462"	"pseudogene"	436	46.79
"ENSMUSG00000090465"	"pseudogene"	484	46.07
"ENSMUSG00000090464"	"antisense"	627	43.54
"ENSMUSG00000090467"	"retrotransposed"	291	54.64
"ENSMUSG00000090466"	"pseudogene"	1283	45.13
"ENSMUSG00000090468"	"protein_coding"	411	50.61
"ENSMUSG00000022299"	"protein_coding"	2945	41.05
"ENSMUSG00000026999"	"protein_coding"	1217	45.60
"ENSMUSG00000026994"	"protein_coding"	1471	42.70
"ENSMUSG00000026991"	"protein_coding"	2336	53.52
"ENSMUSG00000056858"	"protein_coding"	951	43.43
"ENSMUSG00000056856"	"protein_coding"	2181	53.42
"ENSMUSG00000056854"	"protein_coding"	1182	56.68
"ENSMUSG00000056853"	"protein_coding"	930	43.55
"ENSMUSG00000056851"	"protein_coding"	2824	46.24
"ENSMUSG00000043024"	"pseudogene"	2248	47.51
"ENSMUSG00000043020"	"protein_coding"	1515	48.70
"ENSMUSG00000039543"	"protein_coding"	2228	47.34
"ENSMUSG00000039542"	"protein_coding"	3000	52.15
"ENSMUSG00000039540"	"protein_coding"	1480	44.80
"ENSMUSG00000043029"	"protein_coding"	5835	48.64
"ENSMUSG00000039546"	"protein_coding"	1833	55.21
"ENSMUSG00000039545"	"processed_transcript"	2058	47.68
"ENSMUSG00000015085"	"protein_coding"	1404	56.76
"ENSMUSG00000028848"	"protein_coding"	1025	60.49
"ENSMUSG00000028849"	"protein_coding"	2184	61.78
"ENSMUSG00000028845"	"protein_coding"	963	55.56
"ENSMUSG00000028847"	"protein_coding"	1036	53.04
"ENSMUSG00000028840"	"protein_coding"	2007	56.88
"ENSMUSG00000028841"	"protein_coding"	1333	57.61
"ENSMUSG00000028842"	"protein_coding"	3106	44.65
"ENSMUSG00000028843"	"protein_coding"	543	58.89
"ENSMUSG00000034677"	"protein_coding"	1107	55.78
"ENSMUSG00000034674"	"protein_coding"	1226	47.69
"ENSMUSG00000034675"	"protein_coding"	1529	59.10
"ENSMUSG00000034673"	"protein_coding"	1590	55.57
"ENSMUSG00000043795"	"protein_coding"	1294	58.07
"ENSMUSG00000043794"	"pseudogene"	976	62.40
"ENSMUSG00000021670"	"protein_coding"	1392	47.97
"ENSMUSG00000021671"	"protein_coding"	3033	47.97
"ENSMUSG00000029469"	"protein_coding"	1067	44.50
"ENSMUSG00000029468"	"protein_coding"	2457	49.92
"ENSMUSG00000021676"	"protein_coding"	5771	46.47
"ENSMUSG00000021678"	"protein_coding"	2754	48.44
"ENSMUSG00000021679"	"protein_coding"	300	48.00
"ENSMUSG00000029467"	"protein_coding"	4113	52.20
"ENSMUSG00000029466"	"protein_coding"	2013	51.84
"ENSMUSG00000029461"	"protein_coding"	6429	49.19
"ENSMUSG00000029463"	"protein_coding"	1388	52.09
"ENSMUSG00000032637"	"protein_coding"	2825	55.67
"ENSMUSG00000069118"	"protein_coding"	788	43.91
"ENSMUSG00000042772"	"protein_coding"	5794	48.50
"ENSMUSG00000042770"	"protein_coding"	1061	51.08
"ENSMUSG00000012640"	"protein_coding"	2226	47.23
"ENSMUSG00000069114"	"protein_coding"	7414	44.83
"ENSMUSG00000042774"	"protein_coding"	1266	41.94
"ENSMUSG00000028597"	"protein_coding"	810	58.14
"ENSMUSG00000025742"	"protein_coding"	2149	46.95
"ENSMUSG00000025743"	"protein_coding"	1685	60.45
"ENSMUSG00000025745"	"protein_coding"	1913	51.06
"ENSMUSG00000025746"	"protein_coding"	1087	35.14
"ENSMUSG00000025747"	"protein_coding"	1894	47.91
"ENSMUSG00000028599"	"protein_coding"	2096	56.57
"ENSMUSG00000049897"	"protein_coding"	1284	49.83
"ENSMUSG00000074115"	"protein_coding"	605	51.40
"ENSMUSG00000074113"	"lincRNA"	2014	50.00
"ENSMUSG00000074111"	"protein_coding"	1049	48.14
"ENSMUSG00000049891"	"pseudogene"	534	45.69
"ENSMUSG00000038390"	"protein_coding"	2676	61.21
"ENSMUSG00000038393"	"protein_coding"	1407	48.89
"ENSMUSG00000038398"	"protein_coding"	1402	57.42
"ENSMUSG00000028332"	"protein_coding"	2342	45.41
"ENSMUSG00000028333"	"protein_coding"	1716	51.81
"ENSMUSG00000028330"	"protein_coding"	1421	46.68
"ENSMUSG00000028331"	"protein_coding"	1736	52.18
"ENSMUSG00000028337"	"protein_coding"	2300	54.04
"ENSMUSG00000028334"	"protein_coding"	1461	53.05
"ENSMUSG00000028339"	"protein_coding"	1945	55.20
"ENSMUSG00000032094"	"protein_coding"	1323	50.79
"ENSMUSG00000032096"	"protein_coding"	2589	42.63
"ENSMUSG00000032097"	"protein_coding"	6065	43.43
"ENSMUSG00000032091"	"protein_coding"	1687	54.20
"ENSMUSG00000032092"	"protein_coding"	3107	45.03
"ENSMUSG00000032093"	"protein_coding"	1436	50.42
"ENSMUSG00000086870"	"antisense"	653	46.55
"ENSMUSG00000086873"	"processed_transcript"	1354	56.20
"ENSMUSG00000086872"	"lincRNA"	539	58.26
"ENSMUSG00000086875"	"protein_coding"	2003	35.60
"ENSMUSG00000032099"	"protein_coding"	1066	39.12
"ENSMUSG00000086877"	"lincRNA"	1278	42.28
"ENSMUSG00000086876"	"antisense"	289	55.36
"ENSMUSG00000033949"	"protein_coding"	4543	44.07
"ENSMUSG00000020100"	"protein_coding"	2497	54.91
"ENSMUSG00000020102"	"protein_coding"	3009	42.19
"ENSMUSG00000020105"	"protein_coding"	4050	53.04
"ENSMUSG00000020107"	"protein_coding"	1329	51.62
"ENSMUSG00000020109"	"protein_coding"	2298	55.40
"ENSMUSG00000033940"	"protein_coding"	1092	50.27
"ENSMUSG00000033943"	"protein_coding"	4936	44.49
"ENSMUSG00000079963"	"pseudogene"	739	44.79
"ENSMUSG00000079962"	"pseudogene"	374	46.26
"ENSMUSG00000079965"	"pseudogene"	549	53.37
"ENSMUSG00000079966"	"pseudogene"	735	51.56
"ENSMUSG00000044322"	"protein_coding"	3775	43.34
"ENSMUSG00000044320"	"protein_coding"	878	57.81
"ENSMUSG00000044328"	"protein_coding"	734	62.29
"ENSMUSG00000075249"	"protein_coding"	8596	38.54
"ENSMUSG00000075245"	"retrotransposed"	492	47.97
"ENSMUSG00000043807"	"protein_coding"	1111	53.33
